"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @retumbantedeg: Fala, @richarlison97! ""O Fluminense √© um clube que eu amo. E eu pretendo voltar um dia. O clube que me acolheu, mesmo na‚Ä¶",FALSE,0,NA,2018-03-05 23:59:56,FALSE,NA,"970811178485153792",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Vitoria_Flu",185,TRUE,FALSE,NA,NA
"2","@Bonnieinchgo Putin Flu strikes again.",FALSE,1,"Bonnieinchgo",2018-03-05 23:59:51,FALSE,"970807808181587971","970811159937871872","110014280","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AmericanWhoaMan",0,FALSE,FALSE,NA,NA
"3","The Robert Scott Bell Show LIVE 3/5/18 - Aussie flu vax failure, anti-vax community, COPD https://t.co/uWkqrEM4hY",FALSE,0,NA,2018-03-05 23:59:39,FALSE,NA,"970811107291140097",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","rsbellmedia",0,FALSE,FALSE,NA,NA
"4","Queria ver esses dois caras jogando juntos com a camisa do Flu novamente. @marcoscalazans_ @_08wendel https://t.co/SsVHHVX9pn",FALSE,209,NA,2018-03-05 23:59:33,FALSE,NA,"970811083039666176",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Fluminensee1902",54,FALSE,FALSE,NA,NA
"5","The flu is finally starting to go away but you should still get a flu shot Ì†ΩÌπÉÌ†ΩÌ≤â https://t.co/mfHMOPgNiV",FALSE,1,NA,2018-03-05 23:59:31,FALSE,NA,"970811073925230593",NA,"<a href=""http://snappytv.com"" rel=""nofollow"">SnappyTV.com</a>","AM2DM",3,FALSE,FALSE,NA,NA
"6","RT @calluptome: Flu shots sound like the worst drink ever.",FALSE,0,NA,2018-03-05 23:59:28,FALSE,NA,"970811062193881090",NA,"<a href=""http://www.samruston.co.uk"" rel=""nofollow"">Flamingo for Android</a>","waitfortheQ",702,TRUE,FALSE,NA,NA
"7","RT @SocialistVoice: NHS has so many patients with flu or norovirus they could fill 10 hospitals

 https://t.co/hk7WW9eTK3",FALSE,0,NA,2018-03-05 23:59:22,FALSE,NA,"970811034872184833",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","gsDetermination",8,TRUE,FALSE,NA,NA
"8","RT @giovnnakunner: Eu mesma no jogo de volta da sul americana 2017 fla x flu https://t.co/8i6GGIt17K",FALSE,0,NA,2018-03-05 23:59:08,FALSE,NA,"970810976533610497",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lucasvrocha_",2,TRUE,FALSE,NA,NA
"9","You know your flu‚Äôs bad when an oul Lemsip doesn‚Äôt help.",FALSE,5,NA,2018-03-05 23:59:01,FALSE,NA,"970810949237202946",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LeanneWoodfull",0,FALSE,FALSE,NA,NA
"10","@1914palestrasep O Scarpa na ponta pelo Flu n√£o tinha problema, n√©?",FALSE,0,"1914palestrasep",2018-03-05 23:58:53,FALSE,"970810247790104578","970810915070373888","2340272873","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Analise_SEP",0,FALSE,FALSE,NA,NA
"11","PMS + stomach flu is an interesting combo

Uterus: eat the cookie 
Stomach: don‚Äôt you dare eat that cookie",FALSE,17,NA,2018-03-05 23:58:33,FALSE,NA,"970810830366302208",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cali_wolf",0,FALSE,FALSE,NA,NA
"12","@Prii_Flu 
N sei
Gnt boa
N 
N",FALSE,1,"tamer_davi",2018-03-05 23:58:28,FALSE,"970806316657717248","970810809407418369","816440783637245952","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","tamer_davi",1,FALSE,FALSE,NA,NA
