"","numTweets"
"district.of.columbia",42
"west.virginia",4
"south.carolina",15
"indiana",27
"alaska",4
"california",230
"mississippi",3
"kentucky",9
"new.york",133
"vermont",6
"connecticut",22
"michigan",41
"idaho",11
"pennsylvania",61
"minnesota",27
"north.carolina",40
"alabama",21
"arkansas",8
"kansas",119
"maryland",32
"new.hampshire",4
"wyoming",4
"montana",2
"georgia",52
"louisiana",22
"nebraska",7
"hawaii",5
"iowa",26
"texas",147
"massachusetts",42
"rhode.island",7
"delaware",8
"utah",11
"south.dakota",4
"new.jersey",33
"oklahoma",24
"north.dakota",2
"illinois",50
"tennessee",32
"washington",28
"oregon",21
"ohio",49
"virginia",36
"florida",83
"arizona",23
"missouri",28
"nevada",14
"maine",7
"wisconsin",35
"new.mexico",10
"colorado",30
