"","X","lon","lat","address"
"1",1,-119.4179324,36.778261,"california, usa"
"2",2,-95.712891,37.09024,"united states"
"6",6,-104.990251,39.7392358,"denver, co, usa"
"7",7,-111.5764087,40.2532608,"forest rd 027, utah, usa"
"9",9,-87.6297982,41.8781136,"chicago, il, usa"
"10",10,-121.4943996,38.5815719,"sacramento, ca, usa"
"11",11,-78.548621,35.3821067,"benson, nc 27504, usa"
"12",12,-90.4564358,39.6297869,"6 il-106, winchester, il 62694, usa"
"13",13,-84.1052256,40.742551,"lima, oh, usa"
"16",16,-88.1451519,41.7870209,"127 e. ogden avenue, jewel-osco, naperville, il 60563, united states"
"17",17,-90.5389662,41.8239952,"dewitt, ia 52742, usa"
"18",18,-95.712891,37.09024,"united states"
"19",19,-71.0588801,42.3600825,"boston, ma, usa"
"20",20,-74.0059728,40.7127753,"new york, ny, usa"
"22",22,-95.712891,37.09024,"united states"
"25",25,-121.4943996,38.5815719,"sacramento, ca, usa"
"27",27,-87.6876969,42.0450722,"evanston, il, usa"
"28",28,-79.9414266,37.2709704,"roanoke, va, usa"
"29",29,-99.9018131,31.9685988,"texas, usa"
"30",30,-81.5190053,41.0814447,"akron, oh, usa"
"31",31,-115.1398296,36.1699412,"las vegas, nv, usa"
"32",32,-118.1937395,33.7700504,"long beach, ca, usa"
"34",34,-86.80249,33.5206608,"birmingham, al, usa"
"35",35,-86.158068,39.768403,"indianapolis, in, usa"
"36",36,-122.4194155,37.7749295,"san francisco, ca, usa"
"39",39,-95.712891,37.09024,"united states"
"42",42,-112.1287861,33.5101648,"3300 w camelback rd, phoenix, az 85017, usa"
"45",45,-74.4056612,40.0583238,"new jersey, usa"
"47",47,-95.712891,37.09024,"united states"
"49",49,-77.0947092,38.984652,"bethesda, md, usa"
"51",51,-79.5443842,40.3011618,"14 w 2nd st, greensburg, pa 15601, usa"
"55",55,-115.1335806,36.1140974,"1495 e flamingo rd, las vegas, nv 89119, usa"
"56",56,-81.9178997,28.0291036,"1000 longfellow blvd, lakeland, fl 33801, usa"
"62",62,-82.05077,29.063309,"6006 se front rd, belleview, fl 34420, usa"
"63",63,-87.8289548,42.1275267,"northbrook, il 60062, usa"
"65",65,-89.5685606,42.9929065,"milky way, verona, wi 53593, usa"
"66",66,-82.4571776,27.950575,"tampa, fl, usa"
"69",69,-95.712891,37.09024,"united states"
"71",71,-117.140544,32.755681,"2232 el cajon blvd, san diego, ca 92104, usa"
"74",74,-122.3032365,40.5092434,"6640 lockheed dr, redding, ca 96002, usa"
"77",77,-83.9811014,34.1140497,"2505 mill center pkwy, buford, ga 30518, usa"
"79",79,-81.5157535,27.6648274,"florida, usa"
"81",81,-90.2590112,29.9922012,"louis armstrong new orleans international airport (msy), 900 airline dr, kenner, la 70062, usa"
"82",82,-79.0192997,35.7595731,"north carolina, usa"
"84",84,-71.3824374,42.4072107,"massachusetts, usa"
"85",85,-95.3698028,29.7604267,"houston, tx, usa"
"86",86,-86.158068,39.768403,"indianapolis, in, usa"
"89",89,-79.9667766,40.4259915,"2715 sarah st, pittsburgh, pa 15203, usa"
"90",90,-77.0368707,38.9071923,"washington, dc, usa"
"92",92,-99.9018131,31.9685988,"texas, usa"
"94",94,-79.9639145,40.4394832,"3333 fifth ave, pittsburgh, pa 15213, usa"
"96",96,-95.712891,37.09024,"united states"
"98",98,-74.0059728,40.7127753,"new york, ny, usa"
"99",99,-99.9018131,43.9695148,"south dakota, usa"
"103",103,-71.0588801,42.3600825,"boston, ma, usa"
"104",104,-78.458708,38.253749,"165 earth way dr, stanardsville, va 22973, usa"
"111",111,-75.1652215,39.9525839,"philadelphia, pa, usa"
"112",112,-97.7430608,30.267153,"austin, tx, usa"
"114",114,-118.2200712,33.8958492,"compton, ca, usa"
"115",115,-74.4056612,40.0583238,"new jersey, usa"
"117",117,-96.7969879,32.7766642,"dallas, tx, usa"
"119",119,-149.0729714,62.4113634,"west coast, usa"
"121",121,-118.2436849,34.0522342,"los angeles, ca, usa"
"122",122,-121.7369944,37.3814513,"san jose, ca 95127, usa"
"123",123,-86.1274888,40.0428151,"westfield, in, usa"
"124",124,-88.7878678,43.7844397,"wisconsin, usa"
"125",125,-108.5506486,39.0638705,"grand junction, co, usa"
"127",127,-82.907123,40.4172871,"ohio, usa"
"132",132,-107.4338866,32.4507852,"co rd a021, deming, nm 88030, usa"
"135",135,-95.712891,37.09024,"united states"
"139",139,-90.0715323,29.9510658,"new orleans, la, usa"
"141",141,-81.5157535,27.6648274,"florida, usa"
"143",143,-95.3698028,29.7604267,"houston, tx, usa"
"147",147,-77.0340315,38.9031004,"1015 15th st nw #750, washington, dc 20005, usa"
"148",148,-96.630936,39.662667,"1039 vista rd, blue rapids, ks 66411, usa"
"149",149,-97.7430608,30.267153,"austin, tx, usa"
"150",150,-122.4874304,48.7175061,"donovan ave, bellingham, wa 98225, usa"
"151",151,-116.419389,34.9592083,"southern california, ca, usa"
"153",153,-97.4394777,35.2225668,"norman, ok, usa"
"157",157,-94.658108,39.022807,"5835 lamar ave, mission, ks 66202, usa"
"158",158,-73.7562317,42.6525793,"albany, ny, usa"
"160",160,-111.5764087,40.2532608,"forest rd 027, utah, usa"
"161",161,-81.0348144,34.0007104,"columbia, sc, usa"
"162",162,-74.0059728,40.7127753,"new york, ny, usa"
"166",166,-122.286865,38.2975381,"napa, ca, usa"
"168",168,-92.3425775,42.492786,"waterloo, ia, usa"
"174",174,-71.0588801,42.3600825,"boston, ma, usa"
"176",176,-117.6508876,34.0633443,"ontario, ca, usa"
"177",177,-84.8413056,33.9244531,"dallas, ga, usa"
"181",181,-94.658108,39.022807,"5835 lamar ave, mission, ks 66202, usa"
"182",182,-83.1285242,40.5886699,"marion, oh 43302, usa"
"186",186,-81.5157535,27.6648274,"florida, usa"
"187",187,-91.1403196,30.4582829,"baton rouge, la, usa"
"188",188,-85.6023643,44.3148443,"michigan, usa"
"189",189,-83.9844416,34.5278618,"82 college cir, dahlonega, ga 30597, usa"
"191",191,-122.1172664,37.4055023,"440 cesano ct #306, palo alto, ca 94306, usa"
"192",192,-122.435965,37.7218132,"london st, san francisco, ca 94112, usa"
"193",193,-77.6598376,43.2022038,"2515 mt read blvd, rochester, ny 14615, usa"
"194",194,-93.2009998,44.9374831,"twin cities, mn, usa"
"195",195,-106.1007279,34.7394776,"co rd a039, estancia, nm 87016, usa"
"197",197,-70.1545818,45.3596723,"hunter, west forks, me 04985, usa"
"201",201,-88.3200715,41.7605849,"aurora, il, usa"
"202",202,-122.2605222,37.5071591,"san carlos, ca, usa"
"204",204,-74.4056612,40.0583238,"new jersey, usa"
"206",206,-123.8264512,46.5180824,"pacific county, wa, usa"
"208",208,-75.1926937,40.1416782,"fort washington, pa, usa"
"209",209,-86.1349019,40.2671941,"indiana, usa"
"210",210,-95.712891,37.09024,"united states"
"211",211,-122.0651819,37.9100783,"walnut creek, ca, usa"
"212",212,-122.4014193,37.4337342,"san mateo county, ca, usa"
"217",217,-79.0192997,35.7595731,"north carolina, usa"
"222",222,-81.0998342,32.0835407,"savannah, ga, usa"
"225",225,-93.2619202,44.9725062,"701 park ave, minneapolis, mn 55415, usa"
"226",226,-76.3036051,36.860402,"825 fairfax ave, norfolk, va 23507, usa"
"229",229,-118.483332,34.156855,"16055 ventura blvd #630, encino, ca 91436, usa"
"230",230,-81.6943605,41.49932,"cleveland, oh, usa"
"235",235,-90.0715323,29.9510658,"new orleans, la, usa"
"238",238,-122.2913078,37.8271784,"san francisco bay area, ca, usa"
