"","location"
"1","California"
"2","The US & world of Health Talk Radio"
"3","atrs do gol"
"4","Dublin, Ireland"
"5","Allianz Parque"
"6","Denver, CO"
"7","027"
"8","ENGLAND"
"9","Maryland, USA"
"10","Chicago, IL, USA"
"11","Sacramento, CA"
"12","Benson, NC"
"13","+65"
"14","T: -6.187464,106.733645"
"15","Lima, OH"
"16","London, England"
"17","IAPI"
"18","Rio de Janeiro, Brasil"
"19","Naperville and Elmhurst"
"20","De Witt, IA"
"21","United States"
"22","Boston, MA"
"23","New York City"
"24","Rio de Janeiro, Brasil"
"25","Hervey Bay"
"26","Alba Gu Brth "
"27","United States"
"28","winnipeg manitoba"
"29","Duque de Caxias, Rj"
"30","Sacramento, California"
"31","indonesia"
"32","Evanston, IL"
"33","Roanoke, VA"
"34","Glasgow, Scotland"
"35","Texas"
"36","Tampa, FL & Chennai, India"
"37","Akron,Ohio"
"38","Las Vegas, NV"
"39","Long Beach, CA"
"40","So Gonalo, Laranjeiras"
"41","Birmingham, AL"
"42","Indianapolis, IN"
"43","Trinidad and Tobago"
"44","San Francisco, CA"
"45","Cardiff"
"46","Bandung"
"47","United States"
"48","Japan"
"49","Not in Cardiff, Wales, UK"
"50","Grand Canyon University "
"51","Brasil"
"52","Rio de Janeiro - Brasil"
"53","London"
"54","New Jersey, USA"
"55","Niteri, Rio de Janeiro, Brasil"
"56","United States"
"57","Rio de Janeiro, Brazil"
"58","Bethesda, MD"
"59","Paris, FRANCE"
"60","Descendants 2"
"61","Abergavenny, Wales"
"62","Belm, Brasil"
"63","state of seeking concerts"
"64","England, United Kingdom"
"65","Earth; Milky Way Galaxy "
"66","Wahiawa, HI"
"67","Rio de Janeiro, Brasil"
"68","skechers go walk 2 "
"69","No seu "
"70","Niteri, Rio de Janeiro"
"71","Gaza "
"72","Viajando"
"73","DMV"
"74","The Wirral"
"75","Laranjeiras, Rio de Janeiro"
"76","dimanamana"
"77","Everywhere"
"78","Northbrook, IL"
"79","L'Estany, Barcelona"
"80","The Milky Way"
"81","Tampa, FL"
"82","Lagos, Nigeria"
"83","Not Living In A Tower"
"84","glasgow"
"85","United States"
"86","Indonesia"
"87","Cave of Wonders"
"88","Kjikujikwitk||Eastern Passage "
"89","York UK"
"90","52.070394,-0.506133"
"91","kansas"
"92","BLM"
"93","Harvard University"
"94","Barra do Pira, Rio de Janeiro"
"95","Cornwall, UK"
"96","Global"
"97","Vitria, Brasil"
"98","FL"
"99","Braslia, Brasil"
"100","Boston, MA  New Orleans, LA"
"101","North Carolina, USA"
"102","Cascais, Portugal"
"103","+62"
"104","MA"
"105","Houston, Texas"
"106","Kinda floating around"
"107","Indianapolis, IN"
"108","Complexo do Catarina"
"109","Anchieta, Rio de Janeiro"
"110","Wherever..."
"111","Washington, DC"
"112","Catalunya"
"113"," 206"
"114","http://soundcloudtube.com"
"115","Texas, USA"
"116","Dollard des Ormeaux, Qubec,Ca"
"117","Carlow"
"118","Taiwan(Sanchong,Taipei)"
"119","United States"
"120","ATX"
"121","New York"
"122","South Dakota, USA   "
"123","Pretoria, South Africa"
"124"," "
"125"," "
"126","Cape Town, South Africa"
"127","Singapore"
"128","Boston, MA"
"129","Planet Earth"
"130","Brasil"
"131","Indonesia"
"132","So Gonalo, Brasil"
"133","Nova Iguau, Rio de Janeiro"
