"","description","statusesCount","followersCount","favoritesCount","friendsCount","url","name","created","protected","verified","screenName","location","lang","id","listedCount","followRequestSent","profileImageUrl"
"Vitoria_Flu","Eu vos digo que o melhor time √© o Fluminense. E podem me dizer que os fatos provam o contr√°rio, que eu vos respondo: pior para os fatos. @FluminenseFC ‚ù§Ô∏è",16778,685,9066,1464,NA,"Saraaaaaaaaa",2014-12-17 16:53:09,FALSE,FALSE,"Vitoria_Flu","S√£o Gon√ßalo, Brasil","pt","2927248143",3,FALSE,"http://pbs.twimg.com/profile_images/968217056603713538/yPMkex3s_normal.jpg"
"AmericanWhoaMan","Nevertheless, She Persisted. Fighting the illegitimate Trump/Pence admin. RL Ninja. #LethalAF #TaijiSword #WAKIZASHI #Ninjutsu #Taijiquan #KunoichiÌ†æÌ¥∫#RESIST",66429,1966,10282,2748,NA,"#ImpeachTrump",2012-08-21 18:05:01,FALSE,FALSE,"AmericanWhoaMan","California","en","771973622",55,FALSE,"http://pbs.twimg.com/profile_images/842111504564473856/TVlvyov3_normal.jpg"
"rsbellmedia","The voice of health freedom and healing liberty. 7-9p ET M-F, 1-3p ET Sundays",24484,6051,1607,2165,"http://t.co/dTCicjxrTX","Robert Scott Bell",2009-10-08 02:11:22,FALSE,FALSE,"rsbellmedia","The US & world of Health Talk Radio","en","80741093",205,FALSE,"http://pbs.twimg.com/profile_images/633688141996687360/vHyjZIhv_normal.jpg"
"Fluminensee1902","Pagina oficial do Fluminensee1902. sigam no Instagram: fluminensee1902 Facebook: fluminensee1902 Ì†ºÌ∑ÆÌ†ºÌ∑π",8969,1991,12849,29,"https://t.co/I5LzCCET69","Fluminensee1902",2017-08-28 14:25:49,FALSE,FALSE,"Fluminensee1902","atr√°s do gol","pt","902175392487919616",12,FALSE,"http://pbs.twimg.com/profile_images/964328411652083713/-UN-ZZLk_normal.jpg"
"AM2DM","A live morning show from @BuzzFeedNews, weekdays at 10 AM ET on Twitter ‚è∞",4202,17042,2087,1019,"https://t.co/VYe5WowGEE","AM to DM by BuzzFeed News",2017-08-15 21:07:22,FALSE,TRUE,"AM2DM","","en","897565399771992064",183,FALSE,"http://pbs.twimg.com/profile_images/908816483668627456/hpKsU7P6_normal.jpg"
"waitfortheQ","millennial",11222,398,17800,375,NA,"waitfortheQ",2017-04-29 19:19:58,FALSE,FALSE,"waitfortheQ","","en","858400482137698307",2,FALSE,"http://pbs.twimg.com/profile_images/892035324532097025/KikhDOz6_normal.jpg"
"gsDetermination","Sometimes the majority only means that all the fools are on the same side. News, politics, free speech, censorship, freedom, equality & human rights.",193709,850,1252,2306,NA,"Determination",2011-05-20 14:03:16,FALSE,FALSE,"gsDetermination","","en","302039432",115,FALSE,"http://pbs.twimg.com/profile_images/2218088442/G_Avatar_normal.jpeg"
"lucasvrocha_","@FluminenseFC . @bravo52oficial",1487,97,2500,69,NA,"Lucas",2017-02-07 00:42:43,FALSE,FALSE,"lucasvrocha_","","pt","828765903345029120",0,FALSE,"http://pbs.twimg.com/profile_images/963054962971500545/Rwq_JN31_normal.jpg"
"LeanneWoodfull","Veteran blogger, NCAD graduate and proud feminist. Lover of all things fashion, Old Hollywood and history. Dog mama to Jem. #repealthe8th",189473,26948,106375,372,"https://t.co/7a1QB2ToaZ","L·¥á·¥Ä…¥…¥·¥á W·¥è·¥è·¥Ö“ì·¥ú ü ü",2010-12-12 21:03:27,FALSE,TRUE,"LeanneWoodfull","Dublin, Ireland","en-gb","225929966",347,FALSE,"http://pbs.twimg.com/profile_images/963896215439134722/VgNWdXIw_normal.jpg"
"Analise_SEP","Perfil com an√°lises, estat√≠sticas, opini√µes, imagens e informa√ß√µes sobre a Sociedade Esportiva Palmeiras. || contato: analisepalmeiras@gmail.com",6102,8122,1103,229,"https://t.co/LbCBBINkdM","An√°lise Palmeiras",2016-04-24 23:10:30,FALSE,FALSE,"Analise_SEP","Allianz Parque","pt","724374989152116737",75,FALSE,"http://pbs.twimg.com/profile_images/950052383110975488/-5YrNel5_normal.jpg"
