"","stateList"
"1","iowa"
"2","iowa"
"3","iowa"
"4","iowa"
"5","iowa"
"6","iowa"
"7","iowa"
"8","iowa"
"9","iowa"
"10","iowa"
"11","kansas"
"12","massachusetts"
"13","new york"
"14","kansas"
"15","illinois"
"16","virginia"
"17","texas"
"18","florida"
"19","ohio"
"20","nevada"
"21","california"
"22","alabama"
"23","indiana"
"24","california"
"25","arizona"
"26","new jersey"
"27","kansas"
"28","maryland"
"29","pennsylvania"
"30","hawaii"
"31","nevada"
"32","florida"
"33","kansas"
"34","florida"
"35","illinois"
"36","kansas"
"37","kansas"
"38","california"
"39","massachusetts"
"40","florida"
"41","louisiana"
"42","north carolina"
"43","texas"
"44","indiana"
"45","pennsylvania"
"46","district of columbia"
"47","texas"
"48","pennsylvania"
"49","kansas"
"50","new york"
"51","south dakota"
"52","massachusetts"
"53","virginia"
"54","pennsylvania"
"55","texas"
"56","california"
"57","new jersey"
"58","texas"
"59","georgia"
"60","alaska"
"61","california"
"62","california"
"63","indiana"
"64","wisconsin"
"65","colorado"
"66","ohio"
"67","new mexico"
"68","illinois"
"69","kansas"
"70","new york"
"71","florida"
"72","texas"
"73","new york"
"74","district of columbia"
"75","texas"
"76","washington"
"77","california"
"78","oklahoma"
"79","new york"
"80","kansas"
"81","new york"
"82","utah"
"83","south carolina"
"84","new york"
"85","california"
"86","iowa"
"87","massachusetts"
"88","california"
"89","georgia"
"90","minnesota"
"91","kansas"
"92","ohio"
"93","arizona"
"94","florida"
"95","new york"
"96","louisiana"
"97","georgia"
"98","california"
"99","california"
"100","new york"
"101","alaska"
"102","new mexico"
"103","maine"
"104","texas"
"105","illinois"
"106","new york"
"107","california"
"108","new jersey"
"109","washington"
"110","pennsylvania"
"111","virginia"
"112","indiana"
"113","kansas"
"114","kansas"
"115","california"
"116","north carolina"
"117","georgia"
"118","minnesota"
"119","virginia"
"120","ohio"
"121","louisiana"
"122","california"
"123","minnesota"
"124","oregon"
"125","texas"
"126","california"
"127","maryland"
"128","new york"
"129","california"
"130","massachusetts"
"131","south carolina"
"132","texas"
"133","new jersey"
"134","california"
"135","maryland"
"136","georgia"
"137","south carolina"
"138","wisconsin"
"139","virginia"
"140","north carolina"
"141","texas"
"142","texas"
"143","alaska"
"144","nevada"
"145","west virginia"
"146","new jersey"
"147","ohio"
"148","washington"
"149","california"
"150","district of columbia"
"151","texas"
"152","wisconsin"
"153","michigan"
"154","georgia"
"155","texas"
"156","california"
"157","alabama"
"158","virginia"
"159","ohio"
"160","michigan"
"161","south carolina"
"162","texas"
"163","florida"
"164","florida"
"165","tennessee"
"166","kentucky"
"167","virginia"
"168","kansas"
"169","california"
"170","florida"
"171","texas"
"172","district of columbia"
"173","new york"
"174","michigan"
"175","california"
"176","florida"
"177","california"
"178","mississippi"
"179","california"
"180","kansas"
"181","virginia"
"182","virginia"
"183","virginia"
"184","virginia"
"185","district of columbia"
"186","arizona"
"187","indiana"
"188","texas"
"189","north carolina"
"190","georgia"
"191","new mexico"
"192","new jersey"
"193","new jersey"
"194","michigan"
"195","iowa"
"196","illinois"
"197","kansas"
"198","florida"
"199","new york"
"200","florida"
"201","california"
"202","connecticut"
"203","massachusetts"
"204","california"
"205","new york"
"206","new york"
"207","kansas"
"208","georgia"
"209","california"
"210","south carolina"
"211","wisconsin"
"212","ohio"
"213","california"
"214","missouri"
"215","district of columbia"
"216","massachusetts"
"217","colorado"
"218","minnesota"
"219","california"
"220","oklahoma"
"221","utah"
"222","ohio"
"223","missouri"
"224","north carolina"
"225","pennsylvania"
"226","massachusetts"
"227","kansas"
"228","texas"
"229","colorado"
"230","florida"
"231","oklahoma"
"232","tennessee"
"233","pennsylvania"
"234","new york"
"235","texas"
"236","kansas"
"237","washington"
"238","tennessee"
"239","illinois"
"240","pennsylvania"
"241","colorado"
"242","texas"
"243","washington"
"244","new york"
"245","california"
"246","california"
"247","georgia"
"248","florida"
"249","alabama"
"250","maryland"
"251","california"
"252","alabama"
"253","alabama"
"254","new jersey"
"255","maryland"
"256","georgia"
"257","new jersey"
"258","oregon"
"259","california"
"260","california"
"261","tennessee"
"262","kansas"
"263","california"
"264","michigan"
"265","massachusetts"
"266","washington"
"267","california"
"268","florida"
"269","pennsylvania"
"270","california"
"271","tennessee"
"272","california"
"273","illinois"
"274","california"
"275","new york"
"276","kansas"
"277","alabama"
"278","new york"
"279","ohio"
"280","arizona"
"281","indiana"
"282","arizona"
"283","illinois"
"284","pennsylvania"
"285","indiana"
"286","oregon"
"287","idaho"
"288","california"
"289","rhode island"
"290","california"
"291","california"
"292","pennsylvania"
"293","texas"
"294","colorado"
"295","wisconsin"
"296","kansas"
"297","california"
"298","pennsylvania"
"299","georgia"
"300","arizona"
"301","oklahoma"
"302","wisconsin"
"303","new york"
"304","district of columbia"
"305","maine"
"306","texas"
"307","kansas"
"308","illinois"
"309","pennsylvania"
"310","illinois"
"311","california"
"312","ohio"
"313","missouri"
"314","texas"
"315","tennessee"
"316","illinois"
"317","minnesota"
"318","oklahoma"
"319","georgia"
"320","minnesota"
"321","new york"
"322","california"
"323","colorado"
"324","michigan"
"325","connecticut"
"326","florida"
"327","texas"
"328","kansas"
"329","georgia"
"330","tennessee"
"331","new york"
"332","texas"
"333","kansas"
"334","new jersey"
"335","north carolina"
"336","oklahoma"
"337","kansas"
"338","north carolina"
"339","mississippi"
"340","california"
"341","wisconsin"
"342","florida"
"343","california"
"344","west virginia"
"345","illinois"
"346","new york"
"347","kansas"
"348","california"
"349","new york"
"350","virginia"
"351","illinois"
"352","north carolina"
"353","tennessee"
"354","rhode island"
"355","connecticut"
"356","texas"
"357","texas"
"358","texas"
"359","florida"
"360","texas"
"361","california"
"362","maryland"
"363","washington"
"364","florida"
"365","florida"
"366","new york"
"367","new jersey"
"368","california"
"369","louisiana"
"370","washington"
"371","new york"
"372","texas"
"373","california"
"374","illinois"
"375","south dakota"
"376","wisconsin"
"377","new york"
"378","connecticut"
"379","idaho"
"380","tennessee"
"381","kansas"
"382","texas"
"383","kansas"
"384","california"
"385","new jersey"
"386","kansas"
"387","texas"
"388","district of columbia"
"389","alabama"
"390","california"
"391","tennessee"
"392","new york"
"393","iowa"
"394","michigan"
"395","virginia"
"396","north carolina"
"397","north carolina"
"398","california"
"399","minnesota"
"400","tennessee"
"401","texas"
"402","massachusetts"
"403","oregon"
"404","georgia"
"405","massachusetts"
"406","missouri"
"407","illinois"
"408","indiana"
"409","california"
"410","kansas"
"411","iowa"
"412","arizona"
"413","maine"
"414","illinois"
"415","california"
"416","california"
"417","ohio"
"418","virginia"
"419","georgia"
"420","kansas"
"421","oklahoma"
"422","texas"
"423","louisiana"
"424","texas"
"425","kansas"
"426","ohio"
"427","florida"
"428","california"
"429","ohio"
"430","pennsylvania"
"431","ohio"
"432","new york"
"433","new york"
"434","texas"
"435","arizona"
"436","missouri"
"437","north carolina"
"438","illinois"
"439","pennsylvania"
"440","texas"
"441","oregon"
"442","california"
"443","minnesota"
"444","new york"
"445","north carolina"
"446","texas"
"447","kansas"
"448","illinois"
"449","new york"
"450","colorado"
"451","maine"
"452","colorado"
"453","nevada"
"454","california"
"455","new york"
"456","georgia"
"457","texas"
"458","california"
"459","florida"
"460","california"
"461","louisiana"
"462","florida"
"463","virginia"
"464","wisconsin"
"465","wyoming"
"466","new york"
"467","texas"
"468","illinois"
"469","north carolina"
"470","oregon"
"471","arizona"
"472","delaware"
"473","district of columbia"
"474","california"
"475","district of columbia"
"476","texas"
"477","new york"
"478","california"
"479","michigan"
"480","hawaii"
"481","new jersey"
"482","district of columbia"
"483","arizona"
"484","kansas"
"485","florida"
"486","texas"
"487","new jersey"
"488","pennsylvania"
"489","kansas"
"490","idaho"
"491","south carolina"
"492","arizona"
"493","georgia"
"494","alabama"
"495","georgia"
"496","texas"
"497","california"
"498","connecticut"
"499","california"
"500","california"
"501","kansas"
"502","indiana"
"503","california"
"504","washington"
"505","wisconsin"
"506","montana"
"507","texas"
"508","california"
"509","north carolina"
"510","florida"
"511","tennessee"
"512","missouri"
"513","minnesota"
"514","indiana"
"515","michigan"
"516","ohio"
"517","virginia"
"518","michigan"
"519","texas"
"520","pennsylvania"
"521","new jersey"
"522","virginia"
"523","tennessee"
"524","new york"
"525","florida"
"526","texas"
"527","minnesota"
"528","ohio"
"529","california"
"530","florida"
"531","california"
"532","massachusetts"
"533","washington"
"534","california"
"535","new jersey"
"536","wisconsin"
"537","texas"
"538","florida"
"539","texas"
"540","new jersey"
"541","maryland"
"542","indiana"
"543","colorado"
"544","indiana"
"545","district of columbia"
"546","florida"
"547","new york"
"548","kansas"
"549","virginia"
"550","new york"
"551","michigan"
"552","new jersey"
"553","new york"
"554","nebraska"
"555","district of columbia"
"556","ohio"
"557","utah"
"558","washington"
"559","texas"
"560","south carolina"
"561","california"
"562","california"
"563","pennsylvania"
"564","georgia"
"565","california"
"566","district of columbia"
"567","ohio"
"568","louisiana"
"569","california"
"570","north carolina"
"571","arizona"
"572","kansas"
"573","district of columbia"
"574","ohio"
"575","california"
"576","california"
"577","california"
"578","new jersey"
"579","ohio"
"580","missouri"
"581","utah"
"582","florida"
"583","tennessee"
"584","wisconsin"
"585","louisiana"
"586","florida"
"587","california"
"588","maryland"
"589","new york"
"590","florida"
"591","kansas"
"592","south carolina"
"593","michigan"
"594","arizona"
"595","louisiana"
"596","ohio"
"597","oregon"
"598","georgia"
"599","illinois"
"600","maryland"
"601","texas"
"602","virginia"
"603","oregon"
"604","rhode island"
"605","georgia"
"606","virginia"
"607","north carolina"
"608","new jersey"
"609","new york"
"610","new york"
"611","rhode island"
"612","new jersey"
"613","connecticut"
"614","north carolina"
"615","pennsylvania"
"616","california"
"617","massachusetts"
"618","kentucky"
"619","new york"
"620","texas"
"621","colorado"
"622","florida"
"623","texas"
"624","new mexico"
"625","pennsylvania"
"626","oklahoma"
"627","georgia"
"628","california"
"629","district of columbia"
"630","texas"
"631","california"
"632","georgia"
"633","new jersey"
"634","new york"
"635","district of columbia"
"636","california"
"637","indiana"
"638","indiana"
"639","delaware"
"640","florida"
"641","california"
"642","pennsylvania"
"643","alabama"
"644","district of columbia"
"645","kansas"
"646","virginia"
"647","california"
"648","new york"
"649","massachusetts"
"650","california"
"651","texas"
"652","maryland"
"653","texas"
"654","new york"
"655","new york"
