"","X","lon","lat","address"
"5",5,-79.9958864,40.4406248,"pittsburgh, pa, usa"
"6",6,-97.3307658,32.7554883,"fort worth, tx, usa"
"8",8,-105.7820674,39.5500507,"colorado, usa"
"9",9,-95.712891,37.09024,"united states"
"10",10,-117.8719544,33.6205462,"springville, ia, usa"
"12",12,-106.4850217,31.7618778,"el paso, tx, usa"
"13",13,-80.2213477,40.5169767,"moon, pa, usa"
"16",16,-89.6501481,39.7817213,"springfield, il, usa"
"18",18,-76.4921829,38.9784453,"annapolis, md, usa"
"20",20,-122.3130228,47.6189905,"115 15th ave e #201, seattle, wa 98112, usa"
"22",22,-95.3698028,29.7604267,"houston, tx, usa"
"23",23,-96.7969879,32.7766642,"dallas, tx, usa"
"27",27,-104.9416688,39.692037,"c, 1355 s colorado blvd, denver, co 80222, usa"
"29",29,-86.1445299,39.7919657,"1831 n college ave, indianapolis, in 46202, usa"
"32",32,-95.712891,37.09024,"united states"
"34",34,-118.3267992,34.0038165,"3031 w vernon ave, los angeles, ca 90008, usa"
"35",35,-91.1882837,30.2968367,"sunshine, la 70780, usa"
"36",36,-119.4179324,36.778261,"california, usa"
"37",37,-90.3301342,38.6446552,"st. louis, mo 63105, usa"
"38",38,-71.0588801,42.3600825,"boston, ma, usa"
"41",41,-82.9000751,32.1656221,"georgia, usa"
"42",42,-81.5190053,41.0814447,"akron, oh, usa"
"43",43,-124.1636729,40.8020712,"eureka, ca, usa"
"44",44,-80.1625463,25.9331488,"north miami beach, fl, usa"
"46",46,-99.9018131,31.9685988,"texas, usa"
"47",47,-117.4260465,47.6587802,"spokane, wa, usa"
"48",48,-81.6943605,41.49932,"cleveland, oh, usa"
"49",49,-115.1219028,36.1611747,"fremont st, las vegas, nv 89101, usa"
"51",51,-89.3818352,43.0737657,"119 martin luther king jr blvd suite 20, madison, wi 53703, usa"
"52",52,-79.0558445,35.9131996,"chapel hill, nc, usa"
"53",53,-73.8648268,40.8447819,"bronx, ny, usa"
"54",54,-87.6297982,41.8781136,"chicago, il, usa"
"55",55,-74.0059728,40.7127753,"new york, ny, usa"
"58",58,-116.3540138,43.6954424,"eagle, id, usa"
"59",59,-75.5243682,39.158168,"dover, de, usa"
"60",60,-73.9485424,40.744679,"long island city, queens, ny, usa"
"61",61,-91.0551001,29.9902013,"paincourtville, la, usa"
"64",64,-87.6297982,41.8781136,"chicago, il, usa"
"65",65,-87.6297982,41.8781136,"chicago, il, usa"
"66",66,-86.4958219,34.3181497,"arab, al 35016, usa"
"71",71,-96.948328,32.808286,"214 w 6th st, irving, tx 75060, usa"
"72",72,-116.419389,34.9592083,"southern california, ca, usa"
"75",75,-82.1013889,39.324358,"athens, oh 45701, usa"
"76",76,-82.9987942,39.9611755,"columbus, oh, usa"
"77",77,-73.7948516,40.7282239,"queens, ny, usa"
"78",78,-106.6259777,35.2011557,"rio grande, albuquerque, nm 87114, usa"
"79",79,-81.0739825,33.9934867,"west columbia, sc 29169, usa"
"80",80,-69.3844783,45.1689375,"guilford, me, usa"
"81",81,-95.905791,36.136566,"1750 s. sheridan rd., suite sm, tulsa, ok 74112, united states"
"82",82,-111.9221591,40.7321685,"beyles riverside plot, salt lake city, ut 84104, usa"
"86",86,-94.6858998,46.729553,"minnesota, usa"
"87",87,-73.9441579,40.6781784,"brooklyn, ny, usa"
"88",88,-95.712891,37.09024,"united states"
"90",90,-74.0105948,40.7084692,"120 broadway, new york, ny 10271, usa"
"91",91,-94.1049895,36.3704099,"1 w cass hough dr, rogers, ar 72756, usa"
"92",92,-81.6943605,41.49932,"cleveland, oh, usa"
"93",93,-82.3940104,34.8526176,"greenville, sc, usa"
"94",94,-77.4288769,38.8403909,"centreville, va, usa"
"96",96,-93.2650108,44.977753,"minneapolis, mn, usa"
"97",97,-75.2993417,40.2798274,"hatfield, pa 19440, usa"
"98",98,-91.755772,29.7711306,"twin brothers rd, franklin, la 70538, usa"
"99",99,-117.1610838,32.715738,"san diego, ca, usa"
"101",101,-87.9064736,43.0389025,"milwaukee, wi, usa"
"103",103,-97.3307658,32.7554883,"fort worth, tx, usa"
"104",104,-77.0732748,39.5156627,"narnia, 11, new windsor, md 21776, usa"
"105",105,-74.0059728,40.7127753,"new york, ny, usa"
"107",107,-91.8318334,37.9642529,"missouri, usa"
"108",108,-93.751442,32.5197657,"58 la-1, shreveport, la 71107, usa"
"109",109,-74.0059728,40.7127753,"new york, ny, usa"
"110",110,-84.4277001,33.6407282,"hartsfield-jackson atlanta international airport (atl), 6000 n terminal pkwy, atlanta, ga 30320, usa"
"111",111,-116.9960495,32.6398779,"lecture hall, 900 otay lakes rd, chula vista, ca 91910, usa"
"114",114,-102.2547919,41.7369721,"garden county, ne, usa"
"116",116,-80.2797808,25.9560262,"20000 nw 47th ave, miami gardens, fl 33055, usa"
"118",118,-91.1403196,30.4582829,"baton rouge, la, usa"
